Bergamote 136,20,200
Hedione HC,16,160
Sylvamber,13,130
Helvetolide,10.5,105
Ambrox Super,10.5,105
Patchouli Heart SFE,10,100
Sicilian Lemon,5,50
Coranol,2,20
Bigaradier Heart,2,20
Scentolide,1.5,15
Cassis Base,1.5,15
Clary Sage,1.3,13
Beta Pinene,1,10
Lyral,0.85,8.5
Oakmoss,0.6,6
Black Pepper,0.5,5
Litsea Cubeba,0.4,4
Jasmine Sambac,0.3,3
Ambrettolide,0.2,2
Birch Tar Rect. 10%,0.2,2
Zeppin,0.2,2
Allyl Cyclohexyl Propionate,0.2,2
Wardia,0.2,2
Cyclogalbanat,0.2,2
Elemi SFE,0.2,2
Florol,0.2,2
Pink Pepper,0.2,2
Allyl Amyl Glycolate,0.15,1.5
Eucalyptus Globalus,0.15,1.5
Hydrocarboresin,0.1,1
Vanilla (50%),0.1,1
Galbanum,0.1,1
Jasmolactone Delta,0.1,1
Butylated Hydroxytoulene,0.1,1
Manzanate,0.07,0.7
Grisalva,0.06,0.6
Isobutyl Quinoline,0.05,0.5
Olibanum Coeur,0.05,0.5
Dynascone,0.05,0.5
Ambrinol,0.05,0.5
Melonal,0.02,0.2
